Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
28,10.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.175,1.43
29,10.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.15,1.441
30,10.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.15,1.441
31,10.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,8.0,10.0,9.1,1.446
32,10.0,8.0,9.0,10.0,8.0,9.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,8.0,10.0,9.1,1.446
33,10.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,8.0,10.0,9.075,1.456
34,10.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,8.0,10.0,9.075,1.456
35,10.0,8.0,9.0,10.0,8.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,11.0,9.0,7.0,10.0,9.0,11.0,11.0,9.0,8.0,11.0,8.0,10.0,9.075,1.456
36,10.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,8.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0,11.0,11.0,8.0,8.0,11.0,8.0,10.0,9.0,1.432
37,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,8.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0,11.0,11.0,8.0,8.0,11.0,8.0,10.0,8.95,1.413
38,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0,11.0,11.0,8.0,8.0,11.0,8.0,10.0,8.9,1.411
39,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,10.0,9.0,7.0,10.0,9.0,11.0,11.0,8.0,8.0,11.0,8.0,10.0,8.9,1.411
40,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,10.0,7.0,7.0,10.0,9.0,11.0,11.0,8.0,8.0,11.0,8.0,10.0,8.85,1.441
41,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,8.0,8.0,11.0,8.0,10.0,8.75,1.462
42,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,8.0,8.0,10.0,8.0,10.0,8.725,1.432
43,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,8.0,8.0,10.0,8.0,10.0,8.725,1.432
44,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,8.0,8.0,10.0,8.0,10.0,8.725,1.432
45,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,8.0,8.0,10.0,8.0,10.0,8.725,1.432
46,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,8.0,8.0,10.0,8.0,10.0,8.725,1.432
47,10.0,8.0,9.0,9.0,7.0,8.0,8.0,10.0,9.0,6.0,7.0,5.0,9.0,11.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,8.0,7.0,7.0,10.0,7.0,11.0,11.0,8.0,8.0,10.0,8.0,10.0,8.725,1.432
